,id,first_name,last_name,party,district,state,total_votes,missed_votes,seniority,missed_votes_pct,votes_with_party_pct,State_Disct
380,S000244,F.,Sensenbrenner,R,5,WI,1212.0,22.0,40,1.82,93.53,WI-5
381,S000248,José,Serrano,D,15,NY,1212.0,6.0,30,0.5,94.44,NY-15
382,S000250,Pete,Sessions,R,32,TX,1212.0,16.0,22,1.32,98.41,TX-32
383,S001185,Terri,Sewell,D,7,AL,1212.0,63.0,8,5.2,93.65,AL-7
384,S001170,Carol,Shea-Porter,D,1,NH,1212.0,120.0,8,9.9,92.31,NH-1
385,S000344,Brad,Sherman,D,30,CA,1212.0,16.0,22,1.32,92.81,CA-30
386,S000364,John,Shimkus,R,15,IL,1212.0,14.0,22,1.16,96.24,IL-15
387,S001154,Bill,Shuster,R,9,PA,1212.0,146.0,18,12.05,95.97,PA-9
388,S001148,Mike,Simpson,R,2,ID,1212.0,70.0,20,5.78,95.45,ID-2
389,S001191,Kyrsten,Sinema,D,9,AZ,1212.0,122.0,6,10.07,77.71,AZ-9
390,S001165,Albio,Sires,D,8,NJ,1212.0,58.0,14,4.79,95.06,NJ-8
391,S000480,Louise,Slaughter,D,25,NY,826.0,112.0,32,13.56,94.68,NY-25
392,S000522,Christopher,Smith,R,4,NJ,1212.0,9.0,38,0.74,87.86,NJ-4
393,S001172,Adrian,Smith,R,3,NE,1212.0,36.0,12,2.97,97.19,NE-3
394,S000510,Adam,Smith,D,9,WA,1212.0,31.0,22,2.56,93.06,WA-9
395,S001195,Jason,Smith,R,8,MO,1212.0,27.0,6,2.23,95.19,MO-8
396,S000583,Lamar,Smith,R,21,TX,1212.0,81.0,32,6.68,98.23,TX-21
397,S001199,Lloyd,Smucker,R,16,PA,1212.0,15.0,2,1.24,96.16,PA-16
398,S001200,Darren,Soto,D,9,FL,1212.0,5.0,2,0.41,94.86,FL-9
399,S001175,Jackie,Speier,D,14,CA,1212.0,178.0,12,14.69,93.62,CA-14
400,S001196,Elise,Stefanik,R,21,NY,1212.0,6.0,4,0.5,90.8,NY-21
401,S001192,Chris,Stewart,R,2,UT,1212.0,26.0,6,2.15,97.13,UT-2
402,S001187,Steve,Stivers,R,15,OH,1212.0,76.0,8,6.27,92.43,OH-15
403,S001201,Thomas,Suozzi,D,3,NY,1212.0,37.0,2,3.05,88.6,NY-3
404,S001193,Eric,Swalwell,D,15,CA,1212.0,78.0,6,6.44,93.83,CA-15
405,T000472,Mark,Takano,D,41,CA,1212.0,23.0,6,1.9,93.69,CA-41
406,T000477,Scott,Taylor,R,2,VA,1212.0,72.0,2,5.94,95.96,VA-2
407,T000478,Claudia,Tenney,R,22,NY,1212.0,7.0,2,0.58,93.11,NY-22
408,T000193,Bennie,Thompson,D,2,MS,1212.0,114.0,26,9.41,94.44,MS-2
409,T000467,Glenn,Thompson,R,5,PA,1212.0,10.0,10,0.83,92.76,PA-5
410,T000460,Mike,Thompson,D,5,CA,1212.0,25.0,20,2.06,93.51,CA-5
411,T000238,William,Thornberry,R,13,TX,1212.0,26.0,24,2.15,97.55,TX-13
412,T000462,Pat,Tiberi,R,12,OH,729.0,88.0,18,12.07,94.54,OH-12
413,T000470,Scott,Tipton,R,3,CO,1212.0,21.0,8,1.73,92.78,CO-3
