,Total,White,Hispanic/Latin,African/American,Asian,State,District
97,791447,296001,213844,223260,42176,12,10
98,758331,597700,74447,64055,,12,11
99,760472,593603,93030,37040,21384,12,12
100,728996,521929,71684,89432,26457,12,13
101,769968,345857,223634,150976,35584,12,14
102,762822,444603,175127,106063,24592,12,15
103,803454,568659,142084,62183,15330,12,16
104,768138,572206,117927,57744,,12,17
105,754652,510772,121586,93925,16513,12,18
106,799332,558976,155349,63887,12829,12,19
107,794621,146844,191652,421052,22250,12,20
108,758201,429305,177488,122644,17996,12,21
109,737019,429907,150340,116739,24482,12,22
110,749377,324351,278102,100461,33776,12,23
111,749624,84183,294916,365096,9072,12,24
112,763628,144195,580988,35268,,12,25
113,788816,134930,551752,88692,13374,12,26
114,747049,157866,534078,38934,17308,12,27
115,734172,433982,48221,217769,10248,13,01
116,672244,269618,33043,348632,8691,13,02
117,729810,474399,41914,179905,12957,13,03
118,752273,184661,76556,446019,33605,13,04
119,747809,214803,47775,431485,34455,13,05
120,756004,445286,92695,112868,84963,13,06
121,789864,348068,147115,166522,113049,13,07
122,710108,424104,43611,219329,9141,13,08
123,736075,569790,91529,52938,8383,13,09
124,741464,483070,43499,184353,15874,13,10
125,764184,504119,92708,125955,26279,13,11
126,719970,395000,44361,256413,12690,13,12
127,746218,194199,77062,444523,21112,13,13
128,710176,543790,82245,67784,,13,14
129,706501,109005,60225,14769,352101,15,01
130,722056,206237,87925,11129,191347,15,02
131,864758,729868,92719,,,16,01
132,818382,656017,114529,,14137,16,02
133,691474,250230,72236,345746,12254,17,01
134,713917,192109,99610,406653,5436,17,02
135,720930,408601,238646,38014,30281,17,03
136,695098,149668,487383,26083,25740,17,04
137,723373,500153,139326,18194,50171,17,05
138,722323,556741,67177,19108,65830,17,06
139,723481,197866,119971,341264,53760,17,07
140,717789,369977,210817,33339,92202,17,08
141,724071,458579,78549,72697,93906,17,09
142,710610,406581,159809,48352,80123,17,10
143,730480,376601,196939,77608,62504,17,11
144,693736,526394,23528,117759,10412,17,12
145,704699,555039,23987,77940,27069,17,13
146,736397,571250,93109,25846,33119,17,14
147,700549,635675,18784,31367,,17,15
148,687998,577068,64186,23523,9120,17,16
149,691212,521474,64640,80747,10007,17,17
150,713402,632671,20093,29237,18309,17,18
151,711958,444920,110886,133408,8590,18,01
152,724060,578421,68256,50456,9515,18,02
153,740262,612596,44371,46951,16307,18,03
154,749049,638834,45658,33629,21510,18,04
155,768412,626987,38568,56547,24890,18,05
156,720656,660361,18326,19415,10318,18,06
157,751554,394537,79788,230133,23146,18,07
158,717028,646975,16789,28035,7661,18,08
159,750074,669827,25437,19171,19514,18,09
160,771008,683748,29492,29621,12907,19,01
161,778964,669262,41800,34726,17381,19,02
162,824082,688137,55184,35400,28291,19,03
163,760639,667354,52586,12120,16226,19,04
164,708078,543329,112079,21369,12137,20,01
165,716597,592139,45801,35163,11391,20,02
166,759978,548137,90368,62701,33775,20,03
